variable	CDS	X10k	Contig	value	V2
SRR1755625	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	689.261035969728	1500
SRR1755625	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1500
SRR1755626	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1530
SRR1755626	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	183.187365737353	1530
SRR1755626	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1530
SRR1755626	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	1547.78077188607	1530
SRR1755626	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	30.0745956430694	1530
SRR1755626	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	193.880540083748	1530
SRR1755627	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	566.031302212978	1560
SRR1755627	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1560
SRR1755627	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	14.4156819554584	1560
SRR1755627	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	217.121901987861	1560
SRR1755627	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	424.190625387179	1560
SRR1755627	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1560
SRR1755628	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	40.2919149236216	1590
SRR1755628	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	20.5010241098319	1590
SRR1755628	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1590
SRR1755628	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1590
SRR1755628	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	6021.75602175602	1590
SRR1755628	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1590
SRR1755629	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1620
SRR1755629	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1620
SRR1755629	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	708.967175179671	1620
SRR1755629	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	611.767429171386	1620
SRR1755629	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1620
SRR1755629	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	14027.397260274	1620
SRR1755630	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	84.6264251089988	1650
