Gene	Organism	Annotation	Full	Condition	Time	Replicate	Zval
g2273.t1	R.varieornatus	HR4	Dev.B5.1	Dev	B5	1	0.139923218430889
g2400.t1	R.varieornatus	Sad	Dev.B5.1	Dev	B5	1	0.19319131781265
g4792.t1	R.varieornatus	bFtz-F1	Dev.B5.1	Dev	B5	1	-0.764461435913749
g6536.t1	R.varieornatus	HR3	Dev.B5.1	Dev	B5	1	-0.375821817609097
g7221.t1	R.varieornatus	E75	Dev.B5.1	Dev	B5	1	1.17908627217777
g10224.t1	R.varieornatus	E74	Dev.B5.1	Dev	B5	1	-0.388622257317329
g11712.t1	R.varieornatus	E78	Dev.B5.1	Dev	B5	1	-0.493059448409231
g11953.t1	R.varieornatus	USP	Dev.B5.1	Dev	B5	1	-0.184706565470724
g11953.t2	R.varieornatus	USP	Dev.B5.1	Dev	B5	1	1.13370045774395
g12979.t1	R.varieornatus	EcR	Dev.B5.1	Dev	B5	1	-0.069937140834936
g13718.t1	R.varieornatus	CYP18A1	Dev.B5.1	Dev	B5	1	0.136563124505311
g8354.t1	R.varieornatus	EcR	Dev.B5.1	Dev	B5	1	0.334192680459429
OQV12233.1	H.exemplaris	E74	Dev.B5.2	Dev	B5	2	-0.261953718254065
OQV14243.1	H.exemplaris	HR4	Dev.B5.2	Dev	B5	2	0.128040704572301
OQV14677.1	H.exemplaris	EcR	Dev.B5.2	Dev	B5	2	-0.341001887406776
OQV14742.1	H.exemplaris	E78	Dev.B5.2	Dev	B5	2	-0.44550136660942
OQV16526.1	H.exemplaris	CYP18A1	Dev.B5.2	Dev	B5	2	-0.402248279510669
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B5.2	Dev	B5	2	-0.630778666389712
OQV18794.1	H.exemplaris	USP	Dev.B5.2	Dev	B5	2	-0.109802488633352
OQV18795.1	H.exemplaris	USP	Dev.B5.2	Dev	B5	2	-0.905311520470902
OQV18927.1	H.exemplaris	E75	Dev.B5.2	Dev	B5	2	-0.183052753954807
OQV21685.1	H.exemplaris	Sad	Dev.B5.2	Dev	B5	2	-1.05459081480975
OWA50673.1	H.exemplaris	HR3	Dev.B5.2	Dev	B5	2	-0.289482885548601
OQV23446.1	H.exemplaris	EcR	Dev.B5.2	Dev	B5	2	-0.323559303059599
g2273.t1	R.varieornatus	HR4	Dev.B5.2	Dev	B5	2	-0.178532633493236
g2400.t1	R.varieornatus	Sad	Dev.B5.2	Dev	B5	2	-0.113867546668189
g4792.t1	R.varieornatus	bFtz-F1	Dev.B5.2	Dev	B5	2	-0.552548422748498
g6536.t1	R.varieornatus	HR3	Dev.B5.2	Dev	B5	2	-0.620179652858972
g7221.t1	R.varieornatus	E75	Dev.B5.2	Dev	B5	2	0.85976900826393
g10224.t1	R.varieornatus	E74	Dev.B5.2	Dev	B5	2	-0.118108744063703
g11712.t1	R.varieornatus	E78	Dev.B5.2	Dev	B5	2	-0.871513139039338
g11953.t1	R.varieornatus	USP	Dev.B5.2	Dev	B5	2	0.280015943376756
g11953.t2	R.varieornatus	USP	Dev.B5.2	Dev	B5	2	-0.170808375454048
g12979.t1	R.varieornatus	EcR	Dev.B5.2	Dev	B5	2	-0.175258025169413
g13718.t1	R.varieornatus	CYP18A1	Dev.B5.2	Dev	B5	2	-0.239907308908451
g8354.t1	R.varieornatus	EcR	Dev.B5.2	Dev	B5	2	0.162395934784967
OQV12233.1	H.exemplaris	E74	Dev.B5.3	Dev	B5	3	-0.458306223702601
OQV14243.1	H.exemplaris	HR4	Dev.B5.3	Dev	B5	3	-0.274974127507678
OQV14677.1	H.exemplaris	EcR	Dev.B5.3	Dev	B5	3	-0.540427629952716
OQV14742.1	H.exemplaris	E78	Dev.B5.3	Dev	B5	3	-0.461854982450431
OQV16526.1	H.exemplaris	CYP18A1	Dev.B5.3	Dev	B5	3	-0.134443650575889
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B5.3	Dev	B5	3	-0.639040687269735
OQV18794.1	H.exemplaris	USP	Dev.B5.3	Dev	B5	3	0.00860484270971565
OQV18795.1	H.exemplaris	USP	Dev.B5.3	Dev	B5	3	-0.905311249147345
OQV18927.1	H.exemplaris	E75	Dev.B5.3	Dev	B5	3	-0.458883654960202
OQV21685.1	H.exemplaris	Sad	Dev.B5.3	Dev	B5	3	-1.06076863287884
OWA50673.1	H.exemplaris	HR3	Dev.B5.3	Dev	B5	3	-0.342150588200176
OQV23446.1	H.exemplaris	EcR	Dev.B5.3	Dev	B5	3	-0.458420942246856
g2273.t1	R.varieornatus	HR4	Dev.B5.3	Dev	B5	3	0.298903112494531
g2400.t1	R.varieornatus	Sad	Dev.B5.3	Dev	B5	3	0.563769336123745
g4792.t1	R.varieornatus	bFtz-F1	Dev.B5.3	Dev	B5	3	-0.697129633691523
g6536.t1	R.varieornatus	HR3	Dev.B5.3	Dev	B5	3	0.0797792903233463
g7221.t1	R.varieornatus	E75	Dev.B5.3	Dev	B5	3	0.345830295887338
g10224.t1	R.varieornatus	E74	Dev.B5.3	Dev	B5	3	-0.166265827481615
g11712.t1	R.varieornatus	E78	Dev.B5.3	Dev	B5	3	-0.428361542601392
g11953.t1	R.varieornatus	USP	Dev.B5.3	Dev	B5	3	0.0326970755875649
g11953.t2	R.varieornatus	USP	Dev.B5.3	Dev	B5	3	-0.241947327903703
g12979.t1	R.varieornatus	EcR	Dev.B5.3	Dev	B5	3	-0.61938405079447
g13718.t1	R.varieornatus	CYP18A1	Dev.B5.3	Dev	B5	3	-0.193202131091572
g8354.t1	R.varieornatus	EcR	Dev.B5.3	Dev	B5	3	0.394595477648059
OQV12233.1	H.exemplaris	E74	Dev.B6.1	Dev	B6	1	-0.444917715988506
OQV14243.1	H.exemplaris	HR4	Dev.B6.1	Dev	B6	1	-0.366469976739609
OQV14677.1	H.exemplaris	EcR	Dev.B6.1	Dev	B6	1	0.562802319989885
OQV14742.1	H.exemplaris	E78	Dev.B6.1	Dev	B6	1	-0.469436237722481
OQV16526.1	H.exemplaris	CYP18A1	Dev.B6.1	Dev	B6	1	-0.76797371526154
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B6.1	Dev	B6	1	-0.605840909295928
OQV18794.1	H.exemplaris	USP	Dev.B6.1	Dev	B6	1	0.539143965861741
OQV18795.1	H.exemplaris	USP	Dev.B6.1	Dev	B6	1	-0.905284135465796
OQV18927.1	H.exemplaris	E75	Dev.B6.1	Dev	B6	1	-0.414881854456277
OQV21685.1	H.exemplaris	Sad	Dev.B6.1	Dev	B6	1	-0.928246209442868
OWA50673.1	H.exemplaris	HR3	Dev.B6.1	Dev	B6	1	-0.356279684880109
OQV23446.1	H.exemplaris	EcR	Dev.B6.1	Dev	B6	1	-0.379805945961158
g2273.t1	R.varieornatus	HR4	Dev.B6.1	Dev	B6	1	-0.862584937842379
g2400.t1	R.varieornatus	Sad	Dev.B6.1	Dev	B6	1	-0.103162362193435
g4792.t1	R.varieornatus	bFtz-F1	Dev.B6.1	Dev	B6	1	-0.820869962015952
g6536.t1	R.varieornatus	HR3	Dev.B6.1	Dev	B6	1	-0.734063945312427
g7221.t1	R.varieornatus	E75	Dev.B6.1	Dev	B6	1	-1.07938803108497
g10224.t1	R.varieornatus	E74	Dev.B6.1	Dev	B6	1	-0.901866321848287
g11712.t1	R.varieornatus	E78	Dev.B6.1	Dev	B6	1	-0.732890200434717
g11953.t1	R.varieornatus	USP	Dev.B6.1	Dev	B6	1	-0.816768729093292
g11953.t2	R.varieornatus	USP	Dev.B6.1	Dev	B6	1	-0.757594880568464
g12979.t1	R.varieornatus	EcR	Dev.B6.1	Dev	B6	1	-0.475601882762826
g13718.t1	R.varieornatus	CYP18A1	Dev.B6.1	Dev	B6	1	-0.469905136254691
g8354.t1	R.varieornatus	EcR	Dev.B6.1	Dev	B6	1	-0.666663447186028
OQV12233.1	H.exemplaris	E74	Dev.B6.2	Dev	B6	2	-0.510970262981069
OQV14243.1	H.exemplaris	HR4	Dev.B6.2	Dev	B6	2	-0.347790912422846
OQV14677.1	H.exemplaris	EcR	Dev.B6.2	Dev	B6	2	0.430221328733614
OQV14742.1	H.exemplaris	E78	Dev.B6.2	Dev	B6	2	-0.462250289914857
OQV16526.1	H.exemplaris	CYP18A1	Dev.B6.2	Dev	B6	2	-0.713434094212191
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B6.2	Dev	B6	2	-0.614327494615495
OQV18794.1	H.exemplaris	USP	Dev.B6.2	Dev	B6	2	0.229934297294553
OQV18795.1	H.exemplaris	USP	Dev.B6.2	Dev	B6	2	-0.341268231153826
OQV18927.1	H.exemplaris	E75	Dev.B6.2	Dev	B6	2	-0.312165863334711
OQV21685.1	H.exemplaris	Sad	Dev.B6.2	Dev	B6	2	-0.842483670318209
OWA50673.1	H.exemplaris	HR3	Dev.B6.2	Dev	B6	2	-0.356279684880109
OQV23446.1	H.exemplaris	EcR	Dev.B6.2	Dev	B6	2	-0.468305889201551
g2273.t1	R.varieornatus	HR4	Dev.B6.2	Dev	B6	2	-0.385826575522023
g2400.t1	R.varieornatus	Sad	Dev.B6.2	Dev	B6	2	0.230025178058012
g4792.t1	R.varieornatus	bFtz-F1	Dev.B6.2	Dev	B6	2	-0.693667683379884
g6536.t1	R.varieornatus	HR3	Dev.B6.2	Dev	B6	2	-0.692422243388655
g7221.t1	R.varieornatus	E75	Dev.B6.2	Dev	B6	2	-0.185834662392767
g10224.t1	R.varieornatus	E74	Dev.B6.2	Dev	B6	2	0.0727561228960888
g11712.t1	R.varieornatus	E78	Dev.B6.2	Dev	B6	2	-0.880732851140055
g11953.t1	R.varieornatus	USP	Dev.B6.2	Dev	B6	2	0.892133176913006
g11953.t2	R.varieornatus	USP	Dev.B6.2	Dev	B6	2	1.47078645506296
g12979.t1	R.varieornatus	EcR	Dev.B6.2	Dev	B6	2	1.90132218414577
g13718.t1	R.varieornatus	CYP18A1	Dev.B6.2	Dev	B6	2	2.95457509832075
g8354.t1	R.varieornatus	EcR	Dev.B6.2	Dev	B6	2	0.692148178155703
OQV12233.1	H.exemplaris	E74	Dev.B6.3	Dev	B6	3	-0.510970262981069
OQV14243.1	H.exemplaris	HR4	Dev.B6.3	Dev	B6	3	-0.3590257790784
OQV14677.1	H.exemplaris	EcR	Dev.B6.3	Dev	B6	3	0.129714538610478
OQV14742.1	H.exemplaris	E78	Dev.B6.3	Dev	B6	3	-0.456878284338168
OQV16526.1	H.exemplaris	CYP18A1	Dev.B6.3	Dev	B6	3	-0.8238321745477
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B6.3	Dev	B6	3	-0.619643720569274
OQV18794.1	H.exemplaris	USP	Dev.B6.3	Dev	B6	3	-0.351780826543289
OQV18795.1	H.exemplaris	USP	Dev.B6.3	Dev	B6	3	0.16010761934857
OQV18927.1	H.exemplaris	E75	Dev.B6.3	Dev	B6	3	-0.559232324782052
OQV21685.1	H.exemplaris	Sad	Dev.B6.3	Dev	B6	3	-0.983092357408239
OWA50673.1	H.exemplaris	HR3	Dev.B6.3	Dev	B6	3	-0.325587816006845
OQV23446.1	H.exemplaris	EcR	Dev.B6.3	Dev	B6	3	-0.470633632541306
g2273.t1	R.varieornatus	HR4	Dev.B6.3	Dev	B6	3	-0.323656952541648
g2400.t1	R.varieornatus	Sad	Dev.B6.3	Dev	B6	3	2.18265988747349
g4792.t1	R.varieornatus	bFtz-F1	Dev.B6.3	Dev	B6	3	1.17167542021047
g6536.t1	R.varieornatus	HR3	Dev.B6.3	Dev	B6	3	0.914066706567132
g7221.t1	R.varieornatus	E75	Dev.B6.3	Dev	B6	3	1.02887837353405
g10224.t1	R.varieornatus	E74	Dev.B6.3	Dev	B6	3	-0.520175353791766
g11712.t1	R.varieornatus	E78	Dev.B6.3	Dev	B6	3	0.213252743644276
g11953.t1	R.varieornatus	USP	Dev.B6.3	Dev	B6	3	1.83469700598242
g11953.t2	R.varieornatus	USP	Dev.B6.3	Dev	B6	3	0.858407207012254
g12979.t1	R.varieornatus	EcR	Dev.B6.3	Dev	B6	3	3.82428596246222
g13718.t1	R.varieornatus	CYP18A1	Dev.B6.3	Dev	B6	3	2.34014220033213
g8354.t1	R.varieornatus	EcR	Dev.B6.3	Dev	B6	3	-0.200000526670067
OQV12233.1	H.exemplaris	E74	Dev.B7.1	Dev	B7	1	-0.459507903490818
OQV14243.1	H.exemplaris	HR4	Dev.B7.1	Dev	B7	1	-0.343740149703971
OQV14677.1	H.exemplaris	EcR	Dev.B7.1	Dev	B7	1	0.749153702958269
OQV14742.1	H.exemplaris	E78	Dev.B7.1	Dev	B7	1	-0.426785161166918
OQV16526.1	H.exemplaris	CYP18A1	Dev.B7.1	Dev	B7	1	-0.866153652651566
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B7.1	Dev	B7	1	-0.60288378476058
OQV18794.1	H.exemplaris	USP	Dev.B7.1	Dev	B7	1	-0.667914497236734
OQV18795.1	H.exemplaris	USP	Dev.B7.1	Dev	B7	1	0.520375308276285
OQV18927.1	H.exemplaris	E75	Dev.B7.1	Dev	B7	1	-0.560153500015833
OQV21685.1	H.exemplaris	Sad	Dev.B7.1	Dev	B7	1	-0.593909760519303
OWA50673.1	H.exemplaris	HR3	Dev.B7.1	Dev	B7	1	-0.347532438360245
OQV23446.1	H.exemplaris	EcR	Dev.B7.1	Dev	B7	1	-0.501687750410047
g2273.t1	R.varieornatus	HR4	Dev.B7.1	Dev	B7	1	-0.551737678222913
g2400.t1	R.varieornatus	Sad	Dev.B7.1	Dev	B7	1	1.63532335162579
g4792.t1	R.varieornatus	bFtz-F1	Dev.B7.1	Dev	B7	1	-0.421131944185325
g6536.t1	R.varieornatus	HR3	Dev.B7.1	Dev	B7	1	0.530273882600896
g7221.t1	R.varieornatus	E75	Dev.B7.1	Dev	B7	1	-0.278371052437421
g10224.t1	R.varieornatus	E74	Dev.B7.1	Dev	B7	1	-0.872580232534626
g11712.t1	R.varieornatus	E78	Dev.B7.1	Dev	B7	1	1.08803720826461
g11953.t1	R.varieornatus	USP	Dev.B7.1	Dev	B7	1	0.185530143900655
g11953.t2	R.varieornatus	USP	Dev.B7.1	Dev	B7	1	-0.866580302072557
g12979.t1	R.varieornatus	EcR	Dev.B7.1	Dev	B7	1	1.40352886186365
g13718.t1	R.varieornatus	CYP18A1	Dev.B7.1	Dev	B7	1	0.549932675726021
g8354.t1	R.varieornatus	EcR	Dev.B7.1	Dev	B7	1	-0.482050497375547
OQV12233.1	H.exemplaris	E74	Dev.B7.2	Dev	B7	2	-0.377012344566959
OQV14243.1	H.exemplaris	HR4	Dev.B7.2	Dev	B7	2	-0.385089534764849
OQV14677.1	H.exemplaris	EcR	Dev.B7.2	Dev	B7	2	0.38698331309931
OQV14742.1	H.exemplaris	E78	Dev.B7.2	Dev	B7	2	-0.469436237722481
OQV16526.1	H.exemplaris	CYP18A1	Dev.B7.2	Dev	B7	2	-0.751809968366636
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B7.2	Dev	B7	2	-0.571678597344112
OQV18794.1	H.exemplaris	USP	Dev.B7.2	Dev	B7	2	0.206850179124159
OQV18795.1	H.exemplaris	USP	Dev.B7.2	Dev	B7	2	-0.905311520470902
OQV18927.1	H.exemplaris	E75	Dev.B7.2	Dev	B7	2	-0.529064661301572
OQV21685.1	H.exemplaris	Sad	Dev.B7.2	Dev	B7	2	-0.924250794690424
OWA50673.1	H.exemplaris	HR3	Dev.B7.2	Dev	B7	2	-0.356279684880109
OQV23446.1	H.exemplaris	EcR	Dev.B7.2	Dev	B7	2	-0.495110940777585
g2273.t1	R.varieornatus	HR4	Dev.B7.2	Dev	B7	2	-0.270082062482758
g2400.t1	R.varieornatus	Sad	Dev.B7.2	Dev	B7	2	1.41953039178734
g4792.t1	R.varieornatus	bFtz-F1	Dev.B7.2	Dev	B7	2	0.650154525136118
g6536.t1	R.varieornatus	HR3	Dev.B7.2	Dev	B7	2	0.696709925683765
g7221.t1	R.varieornatus	E75	Dev.B7.2	Dev	B7	2	0.334677940902462
g10224.t1	R.varieornatus	E74	Dev.B7.2	Dev	B7	2	-0.589186191192322
g11712.t1	R.varieornatus	E78	Dev.B7.2	Dev	B7	2	0.459286751079178
g11953.t1	R.varieornatus	USP	Dev.B7.2	Dev	B7	2	0.208181235407685
g11953.t2	R.varieornatus	USP	Dev.B7.2	Dev	B7	2	0.627340875830799
g12979.t1	R.varieornatus	EcR	Dev.B7.2	Dev	B7	2	1.8504941613686
g13718.t1	R.varieornatus	CYP18A1	Dev.B7.2	Dev	B7	2	0.520321857132082
g8354.t1	R.varieornatus	EcR	Dev.B7.2	Dev	B7	2	-0.264450047088539
OQV12233.1	H.exemplaris	E74	Dev.B7.3	Dev	B7	3	-0.387238695905999
OQV14243.1	H.exemplaris	HR4	Dev.B7.3	Dev	B7	3	-0.162816590431535
OQV14677.1	H.exemplaris	EcR	Dev.B7.3	Dev	B7	3	-0.626484552830684
OQV14742.1	H.exemplaris	E78	Dev.B7.3	Dev	B7	3	-0.231073759112221
OQV16526.1	H.exemplaris	CYP18A1	Dev.B7.3	Dev	B7	3	-0.252045288097727
OQV18443.1	H.exemplaris	bFtz-F1	Dev.B7.3	Dev	B7	3	-0.325125221152985
OQV18794.1	H.exemplaris	USP	Dev.B7.3	Dev	B7	3	-0.0636202901243165
OQV18795.1	H.exemplaris	USP	Dev.B7.3	Dev	B7	3	-0.0557230500176876
OQV18927.1	H.exemplaris	E75	Dev.B7.3	Dev	B7	3	-0.508471937527055
OQV21685.1	H.exemplaris	Sad	Dev.B7.3	Dev	B7	3	0.769456084725857
OWA50673.1	H.exemplaris	HR3	Dev.B7.3	Dev	B7	3	-0.174752080093313
OQV23446.1	H.exemplaris	EcR	Dev.B7.3	Dev	B7	3	-0.241764257648531
g2273.t1	R.varieornatus	HR4	Dev.B7.3	Dev	B7	3	-0.0788152575039959
g2400.t1	R.varieornatus	Sad	Dev.B7.3	Dev	B7	3	0.36729619228115
g4792.t1	R.varieornatus	bFtz-F1	Dev.B7.3	Dev	B7	3	0.389641671857664
g6536.t1	R.varieornatus	HR3	Dev.B7.3	Dev	B7	3	-0.170450479948129
g7221.t1	R.varieornatus	E75	Dev.B7.3	Dev	B7	3	1.29389064654459
g10224.t1	R.varieornatus	E74	Dev.B7.3	Dev	B7	3	0.0923974935143327
g11712.t1	R.varieornatus	E78	Dev.B7.3	Dev	B7	3	-0.389838192231423
g11953.t1	R.varieornatus	USP	Dev.B7.3	Dev	B7	3	0.474603694636368
g11953.t2	R.varieornatus	USP	Dev.B7.3	Dev	B7	3	0.239844449022034
g12979.t1	R.varieornatus	EcR	Dev.B7.3	Dev	B7	3	1.27708355673713
g13718.t1	R.varieornatus	CYP18A1	Dev.B7.3	Dev	B7	3	4.52351105125214
g8354.t1	R.varieornatus	EcR	Dev.B7.3	Dev	B7	3	0.21701382799254
OQV12233.1	H.exemplaris	E74	Dev.E1.1	Dev	E1	1	-0.347117642159762
OQV14243.1	H.exemplaris	HR4	Dev.E1.1	Dev	E1	1	-0.429844137801945
OQV14677.1	H.exemplaris	EcR	Dev.E1.1	Dev	E1	1	-1.01125126268149
OQV14742.1	H.exemplaris	E78	Dev.E1.1	Dev	E1	1	-0.463494157170778
OQV16526.1	H.exemplaris	CYP18A1	Dev.E1.1	Dev	E1	1	-0.159107425833867
OQV18443.1	H.exemplaris	bFtz-F1	Dev.E1.1	Dev	E1	1	0.776503848401489
OQV18794.1	H.exemplaris	USP	Dev.E1.1	Dev	E1	1	-0.668568776075985
OQV18795.1	H.exemplaris	USP	Dev.E1.1	Dev	E1	1	-0.485787159887719
OQV18927.1	H.exemplaris	E75	Dev.E1.1	Dev	E1	1	-0.943497436935482
OQV21685.1	H.exemplaris	Sad	Dev.E1.1	Dev	E1	1	-0.0532575006090037
OWA50673.1	H.exemplaris	HR3	Dev.E1.1	Dev	E1	1	-0.339790373723455
OQV23446.1	H.exemplaris	EcR	Dev.E1.1	Dev	E1	1	-0.613516639274191
g2273.t1	R.varieornatus	HR4	Dev.E1.1	Dev	E1	1	-0.409102230982793
g2400.t1	R.varieornatus	Sad	Dev.E1.1	Dev	E1	1	-1.09032599751955
g4792.t1	R.varieornatus	bFtz-F1	Dev.E1.1	Dev	E1	1	-0.151475580576005
g6536.t1	R.varieornatus	HR3	Dev.E1.1	Dev	E1	1	-0.408772924411131
g7221.t1	R.varieornatus	E75	Dev.E1.1	Dev	E1	1	-0.666585631230391
g10224.t1	R.varieornatus	E74	Dev.E1.1	Dev	E1	1	-0.372420406902164
g11712.t1	R.varieornatus	E78	Dev.E1.1	Dev	E1	1	0.198982089844944
g11953.t1	R.varieornatus	USP	Dev.E1.1	Dev	E1	1	-0.711545019877308
g11953.t2	R.varieornatus	USP	Dev.E1.1	Dev	E1	1	-0.686536398453637
g12979.t1	R.varieornatus	EcR	Dev.E1.1	Dev	E1	1	-0.632548464068627
g13718.t1	R.varieornatus	CYP18A1	Dev.E1.1	Dev	E1	1	-0.413928912082022
g8354.t1	R.varieornatus	EcR	Dev.E1.1	Dev	E1	1	-0.656279070367572
OQV12233.1	H.exemplaris	E74	Dev.E1.2	Dev	E1	2	-0.344500789238504
OQV14243.1	H.exemplaris	HR4	Dev.E1.2	Dev	E1	2	-0.426653812413587
OQV14677.1	H.exemplaris	EcR	Dev.E1.2	Dev	E1	2	-0.919999217969986
OQV14742.1	H.exemplaris	E78	Dev.E1.2	Dev	E1	2	-0.446549719931915
OQV16526.1	H.exemplaris	CYP18A1	Dev.E1.2	Dev	E1	2	-0.201342981694797
OQV18443.1	H.exemplaris	bFtz-F1	Dev.E1.2	Dev	E1	2	0.849615232151619
OQV18794.1	H.exemplaris	USP	Dev.E1.2	Dev	E1	2	-0.668554022718203
OQV18795.1	H.exemplaris	USP	Dev.E1.2	Dev	E1	2	-0.266702619805223
OQV18927.1	H.exemplaris	E75	Dev.E1.2	Dev	E1	2	-0.931789927037765
OQV21685.1	H.exemplaris	Sad	Dev.E1.2	Dev	E1	2	-0.336787135020129
OWA50673.1	H.exemplaris	HR3	Dev.E1.2	Dev	E1	2	-0.336063979715618
OQV23446.1	H.exemplaris	EcR	Dev.E1.2	Dev	E1	2	-0.609785395481128
g2273.t1	R.varieornatus	HR4	Dev.E1.2	Dev	E1	2	-0.529289080851015
g2400.t1	R.varieornatus	Sad	Dev.E1.2	Dev	E1	2	-1.02295517786044
g4792.t1	R.varieornatus	bFtz-F1	Dev.E1.2	Dev	E1	2	-0.152997557048728
g6536.t1	R.varieornatus	HR3	Dev.E1.2	Dev	E1	2	-0.554017485507721
g7221.t1	R.varieornatus	E75	Dev.E1.2	Dev	E1	2	-1.47470535012187
g10224.t1	R.varieornatus	E74	Dev.E1.2	Dev	E1	2	-0.118625622237867
g11712.t1	R.varieornatus	E78	Dev.E1.2	Dev	E1	2	-0.283232139779626
g11953.t1	R.varieornatus	USP	Dev.E1.2	Dev	E1	2	-0.891830014140906
g11953.t2	R.varieornatus	USP	Dev.E1.2	Dev	E1	2	0.385315755629833
g12979.t1	R.varieornatus	EcR	Dev.E1.2	Dev	E1	2	-0.448547897856189
g13718.t1	R.varieornatus	CYP18A1	Dev.E1.2	Dev	E1	2	-0.458640406942434
g8354.t1	R.varieornatus	EcR	Dev.E1.2	Dev	E1	2	-0.639376854426665
OQV12233.1	H.exemplaris	E74	Dev.E1.3	Dev	E1	3	-0.0340913255925691
OQV14243.1	H.exemplaris	HR4	Dev.E1.3	Dev	E1	3	-0.434352862516697
OQV14677.1	H.exemplaris	EcR	Dev.E1.3	Dev	E1	3	0.602031472757202
OQV14742.1	H.exemplaris	E78	Dev.E1.3	Dev	E1	3	0.485832135479803
OQV16526.1	H.exemplaris	CYP18A1	Dev.E1.3	Dev	E1	3	-0.0962696255000865
OQV18443.1	H.exemplaris	bFtz-F1	Dev.E1.3	Dev	E1	3	0.989703273813103
OQV18794.1	H.exemplaris	USP	Dev.E1.3	Dev	E1	3	0.155044717353151
OQV18795.1	H.exemplaris	USP	Dev.E1.3	Dev	E1	3	-0.905311520024718
OQV18927.1	H.exemplaris	E75	Dev.E1.3	Dev	E1	3	-0.446687162796812
OQV21685.1	H.exemplaris	Sad	Dev.E1.3	Dev	E1	3	1.87653969474063
OWA50673.1	H.exemplaris	HR3	Dev.E1.3	Dev	E1	3	-0.343433573515069
OQV23446.1	H.exemplaris	EcR	Dev.E1.3	Dev	E1	3	-0.613441724988241
g2273.t1	R.varieornatus	HR4	Dev.E1.3	Dev	E1	3	-0.518042117181245
g2400.t1	R.varieornatus	Sad	Dev.E1.3	Dev	E1	3	-1.09910437823485
g4792.t1	R.varieornatus	bFtz-F1	Dev.E1.3	Dev	E1	3	-0.435662086080179
g6536.t1	R.varieornatus	HR3	Dev.E1.3	Dev	E1	3	-0.61732541323081
g7221.t1	R.varieornatus	E75	Dev.E1.3	Dev	E1	3	-1.37630509834533
g10224.t1	R.varieornatus	E74	Dev.E1.3	Dev	E1	3	-0.25200299462112
g11712.t1	R.varieornatus	E78	Dev.E1.3	Dev	E1	3	-0.310579049166746
g11953.t1	R.varieornatus	USP	Dev.E1.3	Dev	E1	3	-0.791736735951691
g11953.t2	R.varieornatus	USP	Dev.E1.3	Dev	E1	3	-0.845050252224948
g12979.t1	R.varieornatus	EcR	Dev.E1.3	Dev	E1	3	-0.632381119832091
g13718.t1	R.varieornatus	CYP18A1	Dev.E1.3	Dev	E1	3	-0.472890613390768
g8354.t1	R.varieornatus	EcR	Dev.E1.3	Dev	E1	3	-0.730627956919436
OQV12233.1	H.exemplaris	E74	Dev.E2.1	Dev	E2	1	-0.300143069728553
OQV14243.1	H.exemplaris	HR4	Dev.E2.1	Dev	E2	1	-0.417745523532107
OQV14677.1	H.exemplaris	EcR	Dev.E2.1	Dev	E2	1	0.100665467911446
OQV14742.1	H.exemplaris	E78	Dev.E2.1	Dev	E2	1	2.1627828191816
OQV16526.1	H.exemplaris	CYP18A1	Dev.E2.1	Dev	E2	1	0.0727789778634599
OQV18443.1	H.exemplaris	bFtz-F1	Dev.E2.1	Dev	E2	1	0.460676510748416
OQV18794.1	H.exemplaris	USP	Dev.E2.1	Dev	E2	1	-0.396659307592147
OQV18795.1	H.exemplaris	USP	Dev.E2.1	Dev	E2	1	-0.548951245163431
OQV18927.1	H.exemplaris	E75	Dev.E2.1	Dev	E2	1	-0.250374485197775
OQV21685.1	H.exemplaris	Sad	Dev.E2.1	Dev	E2	1	0.881674299430575
OWA50673.1	H.exemplaris	HR3	Dev.E2.1	Dev	E2	1	-0.33244791320106
OQV23446.1	H.exemplaris	EcR	Dev.E2.1	Dev	E2	1	-0.621083120628795
g2273.t1	R.varieornatus	HR4	Dev.E2.1	Dev	E2	1	1.54155147640676
g2400.t1	R.varieornatus	Sad	Dev.E2.1	Dev	E2	1	-0.781069787132313
g4792.t1	R.varieornatus	bFtz-F1	Dev.E2.1	Dev	E2	1	0.893255676279256
g6536.t1	R.varieornatus	HR3	Dev.E2.1	Dev	E2	1	0.527615264731977
g7221.t1	R.varieornatus	E75	Dev.E2.1	Dev	E2	1	0.478409883687788
g10224.t1	R.varieornatus	E74	Dev.E2.1	Dev	E2	1	0.867175073137774
g11712.t1	R.varieornatus	E78	Dev.E2.1	Dev	E2	1	0.723437134071721
g11953.t1	R.varieornatus	USP	Dev.E2.1	Dev	E2	1	-0.543606887095716
g11953.t2	R.varieornatus	USP	Dev.E2.1	Dev	E2	1	-0.4571811207075
g12979.t1	R.varieornatus	EcR	Dev.E2.1	Dev	E2	1	-0.268680734286187
g13718.t1	R.varieornatus	CYP18A1	Dev.E2.1	Dev	E2	1	-0.431882153287473
g8354.t1	R.varieornatus	EcR	Dev.E2.1	Dev	E2	1	0.0820724752690603
OQV12233.1	H.exemplaris	E74	Dev.E2.2	Dev	E2	2	0.0735970516776591
